Epoch: 0 | loss:1.16 | acc:0.3558 | prec0:0.3453 | prec1:0.3445 | prec2:0.3743 | recall0:0.4662  | recall1:0.1948 | recall2:0.4045
Epoch: 1 | loss:1.21 | acc:0.3807 | prec0:0.3562 | prec1:0.4118 | prec2:0.4499 | recall0:0.7699  | recall1:0.0716 | recall2:0.3011
Epoch: 2 | loss:0.94 | acc:0.3915 | prec0:0.3869 | prec1:0.3732 | prec2:0.4169 | recall0:0.3025  | recall1:0.4562 | recall2:0.4155
Epoch: 3 | loss:1.10 | acc:0.3848 | prec0:0.3961 | prec1:0.3708 | prec2:0.3888 | recall0:0.2791  | recall1:0.3573 | recall2:0.5145
Epoch: 4 | loss:1.00 | acc:0.4001 | prec0:0.4024 | prec1:0.3819 | prec2:0.4196 | recall0:0.3919  | recall1:0.4271 | recall2:0.3820
Epoch: 5 | loss:1.25 | acc:0.3972 | prec0:0.4019 | prec1:0.3770 | prec2:0.4208 | recall0:0.3244  | recall1:0.4854 | recall2:0.3824
Epoch: 6 | loss:1.01 | acc:0.4199 | prec0:0.4220 | prec1:0.4013 | prec2:0.4369 | recall0:0.3723  | recall1:0.4320 | recall2:0.4545
Epoch: 7 | loss:1.05 | acc:0.4164 | prec0:0.4292 | prec1:0.3998 | prec2:0.4248 | recall0:0.3052  | recall1:0.4589 | recall2:0.4836
Epoch: 8 | loss:0.76 | acc:0.4115 | prec0:0.4010 | prec1:0.3949 | prec2:0.4548 | recall0:0.4217  | recall1:0.4911 | recall2:0.3243
Epoch: 9 | loss:1.04 | acc:0.4125 | prec0:0.4027 | prec1:0.3956 | prec2:0.4471 | recall0:0.4700  | recall1:0.4066 | recall2:0.3622
Epoch:10 | loss:0.66 | acc:0.4066 | prec0:0.4393 | prec1:0.4190 | prec2:0.3891 | recall0:0.2565  | recall1:0.3342 | recall2:0.6235
Epoch:11 | loss:0.67 | acc:0.4230 | prec0:0.4078 | prec1:0.4046 | prec2:0.4560 | recall0:0.4538  | recall1:0.3638 | recall2:0.4505
Epoch:12 | loss:0.83 | acc:0.4163 | prec0:0.4050 | prec1:0.3997 | prec2:0.4627 | recall0:0.4742  | recall1:0.4627 | recall2:0.3147
Epoch:13 | loss:0.43 | acc:0.4241 | prec0:0.4242 | prec1:0.4051 | prec2:0.4448 | recall0:0.3685  | recall1:0.4559 | recall2:0.4476
Epoch:14 | loss:0.97 | acc:0.4179 | prec0:0.4154 | prec1:0.4024 | prec2:0.4315 | recall0:0.3833  | recall1:0.3642 | recall2:0.5039
Epoch:15 | loss:0.59 | acc:0.4169 | prec0:0.4231 | prec1:0.3999 | prec2:0.4281 | recall0:0.3433  | recall1:0.4248 | recall2:0.4810
Epoch:16 | loss:0.49 | acc:0.4214 | prec0:0.4151 | prec1:0.4017 | prec2:0.4510 | recall0:0.4387  | recall1:0.4210 | recall2:0.4049
Epoch:17 | loss:0.51 | acc:0.4234 | prec0:0.4221 | prec1:0.3980 | prec2:0.4634 | recall0:0.4466  | recall1:0.4714 | recall2:0.3541
Epoch:18 | loss:0.19 | acc:0.4224 | prec0:0.4261 | prec1:0.4009 | prec2:0.4446 | recall0:0.3957  | recall1:0.4596 | recall2:0.4122
Epoch:19 | loss:0.50 | acc:0.4280 | prec0:0.4338 | prec1:0.4083 | prec2:0.4417 | recall0:0.3844  | recall1:0.4225 | recall2:0.4759
Epoch:20 | loss:0.22 | acc:0.4235 | prec0:0.4110 | prec1:0.4114 | prec2:0.4639 | recall0:0.5130  | recall1:0.4407 | recall2:0.3195
Epoch:21 | loss:0.61 | acc:0.4253 | prec0:0.4227 | prec1:0.4010 | prec2:0.4553 | recall0:0.4176  | recall1:0.4343 | recall2:0.4240
Epoch:22 | loss:0.88 | acc:0.4269 | prec0:0.4182 | prec1:0.4045 | prec2:0.4607 | recall0:0.4398  | recall1:0.4157 | recall2:0.4251
Epoch:23 | loss:0.57 | acc:0.4367 | prec0:0.4210 | prec1:0.4194 | prec2:0.4867 | recall0:0.5066  | recall1:0.4494 | recall2:0.3563
Epoch:24 | loss:0.39 | acc:0.4317 | prec0:0.4332 | prec1:0.4129 | prec2:0.4509 | recall0:0.4036  | recall1:0.4517 | recall2:0.4398
